state,stage,sex,year,completion
Malaysia,primary,both,2016,98.37
Malaysia,secondary_lower,both,2016,95.582
Malaysia,secondary_upper,both,2016,99.2484
Malaysia,primary,both,2017,98.07
Malaysia,secondary_lower,both,2017,97.7251
Malaysia,secondary_upper,both,2017,96.3806
Malaysia,primary,both,2018,97.67
Malaysia,secondary_lower,both,2018,96.6377
Malaysia,secondary_upper,both,2018,95.6307
Malaysia,primary,both,2019,98
Malaysia,secondary_lower,both,2019,96.7
Malaysia,secondary_upper,both,2019,97.5
Malaysia,primary,both,2020,98.4
Malaysia,secondary_lower,both,2020,97.8
Malaysia,secondary_upper,both,2020,92.8
Malaysia,primary,both,2021,99
Malaysia,secondary_lower,both,2021,99.8
Malaysia,secondary_upper,both,2021,97.8
Malaysia,primary,both,2022,99.3
Malaysia,secondary_lower,both,2022,99
Malaysia,secondary_upper,both,2022,99.2
