state,year,completion
Johor,2016,99.5156
Johor,2017,99.2906
Johor,2018,93.7421
Johor,2019,98
Johor,2020,89.2
Johor,2021,97
Johor,2022,98.1
Kedah,2016,99.0933
Kedah,2017,97.451
Kedah,2018,95.7661
Kedah,2019,96.6
Kedah,2020,96.7
Kedah,2021,100.5
Kedah,2022,99.2
Kelantan,2016,98.4254
Kelantan,2017,96.8805
Kelantan,2018,88.4185
Kelantan,2019,109.2
Kelantan,2020,97.7
Kelantan,2021,100.3
Kelantan,2022,99.4
Melaka,2016,99.2746
Melaka,2017,97.8254
Melaka,2018,98.245
Melaka,2019,97
Melaka,2020,94.1
Melaka,2021,98.2
Melaka,2022,97.7
Negeri Sembilan,2016,100.1393
Negeri Sembilan,2017,96.707
Negeri Sembilan,2018,96.7493
Negeri Sembilan,2019,96.9
Negeri Sembilan,2020,93.3
Negeri Sembilan,2021,98.6
Negeri Sembilan,2022,100.4
Pahang,2016,99.6813
Pahang,2017,90.8114
Pahang,2018,99.1357
Pahang,2019,92.9
Pahang,2020,97.5
Pahang,2021,99.6
Pahang,2022,100
Perak,2016,99.1
Perak,2017,94.4357
Perak,2018,97.4355
Perak,2019,97.9
Perak,2020,92.4
Perak,2021,98.8
Perak,2022,100.3
Perlis,2016,91.1528
Perlis,2017,94.5276
Perlis,2018,94.6984
Perlis,2019,94.6
Perlis,2020,93.3
Perlis,2021,97.4
Perlis,2022,97.9
Pulau Pinang,2016,100.1947
Pulau Pinang,2017,95.4438
Pulau Pinang,2018,94.9794
Pulau Pinang,2019,96.9
Pulau Pinang,2020,92
Pulau Pinang,2021,95.5
Pulau Pinang,2022,100.5
Sabah,2016,97.5882
Sabah,2017,96.3273
Sabah,2018,95.4015
Sabah,2019,95.3
Sabah,2020,94.2
Sabah,2021,98.7
Sabah,2022,99.6
Sarawak,2016,97.7736
Sarawak,2017,95.9102
Sarawak,2018,96.2509
Sarawak,2019,96
Sarawak,2020,91.8
Sarawak,2021,97.5
Sarawak,2022,98.9
Selangor,2016,100.3258
Selangor,2017,97.3706
Selangor,2018,97.6012
Selangor,2019,95.8
Selangor,2020,93
Selangor,2021,95.6
Selangor,2022,99.3
Terengganu,2016,99.5952
Terengganu,2017,98.0835
Terengganu,2018,98.1639
Terengganu,2019,99.9
Terengganu,2020,96.1
Terengganu,2021,100.5
Terengganu,2022,99
Kuala Lumpur,2016,100.5322
Kuala Lumpur,2017,92.2802
Kuala Lumpur,2018,91.9811
Kuala Lumpur,2019,99.4
Kuala Lumpur,2020,80.8
Kuala Lumpur,2021,94.7
Kuala Lumpur,2022,97.5
Labuan,2016,101.9983
Labuan,2017,97.0185
Labuan,2018,91.4501
Labuan,2019,99.9
Labuan,2020,95.8
Labuan,2021,96
Labuan,2022,99.3
Putrajaya,2016,109.4761
Putrajaya,2017,97.0238
Putrajaya,2018,95.034
Putrajaya,2019,103.6
Putrajaya,2020,93.5
Putrajaya,2021,93.7
Putrajaya,2022,101.7
