state,stage,sex,year,completion
Johor,primary,both,2016,99.06
Johor,secondary_lower,both,2016,94.7645
Johor,secondary_upper,both,2016,99.5156
Kedah,primary,both,2016,99.97
Kedah,secondary_lower,both,2016,95.9472
Kedah,secondary_upper,both,2016,99.0933
Kelantan,primary,both,2016,100.32
Kelantan,secondary_lower,both,2016,96.242
Kelantan,secondary_upper,both,2016,98.4254
Melaka,primary,both,2016,98.92
Melaka,secondary_lower,both,2016,99.0276
Melaka,secondary_upper,both,2016,99.2746
Negeri Sembilan,primary,both,2016,98.29
Negeri Sembilan,secondary_lower,both,2016,97.3067
Negeri Sembilan,secondary_upper,both,2016,100.1393
Pahang,primary,both,2016,97.72
Pahang,secondary_lower,both,2016,96.3753
Pahang,secondary_upper,both,2016,99.6813
Perak,primary,both,2016,98.83
Perak,secondary_lower,both,2016,94.9094
Perak,secondary_upper,both,2016,99.1
Perlis,primary,both,2016,101.66
Perlis,secondary_lower,both,2016,93.6557
Perlis,secondary_upper,both,2016,91.1528
Pulau Pinang,primary,both,2016,96.55
Pulau Pinang,secondary_lower,both,2016,94.7517
Pulau Pinang,secondary_upper,both,2016,100.1947
Sabah,primary,both,2016,99.75
Sabah,secondary_lower,both,2016,90.1018
Sabah,secondary_upper,both,2016,97.5882
Sarawak,primary,both,2016,99.4
Sarawak,secondary_lower,both,2016,94.3106
Sarawak,secondary_upper,both,2016,97.7736
Selangor,primary,both,2016,96.86
Selangor,secondary_lower,both,2016,98.0499
Selangor,secondary_upper,both,2016,100.3258
Terengganu,primary,both,2016,100.43
Terengganu,secondary_lower,both,2016,96.8437
Terengganu,secondary_upper,both,2016,99.5952
Kuala Lumpur,primary,both,2016,91.93
Kuala Lumpur,secondary_lower,both,2016,98.0524
Kuala Lumpur,secondary_upper,both,2016,100.5322
Labuan,primary,both,2016,95.05
Labuan,secondary_lower,both,2016,78.3156
Labuan,secondary_upper,both,2016,101.9983
Putrajaya,primary,both,2016,103.48
Putrajaya,secondary_lower,both,2016,110.3378
Putrajaya,secondary_upper,both,2016,109.4761
Johor,primary,both,2017,99.14
Johor,secondary_lower,both,2017,99.5251
Johor,secondary_upper,both,2017,99.2906
Kedah,primary,both,2017,100.12
Kedah,secondary_lower,both,2017,97.3087
Kedah,secondary_upper,both,2017,97.451
Kelantan,primary,both,2017,100.17
Kelantan,secondary_lower,both,2017,94.65
Kelantan,secondary_upper,both,2017,96.8805
Melaka,primary,both,2017,98.87
Melaka,secondary_lower,both,2017,98.5646
Melaka,secondary_upper,both,2017,97.8254
Negeri Sembilan,primary,both,2017,98.95
Negeri Sembilan,secondary_lower,both,2017,99.5664
Negeri Sembilan,secondary_upper,both,2017,96.707
Pahang,primary,both,2017,97.57
Pahang,secondary_lower,both,2017,97.636
Pahang,secondary_upper,both,2017,90.8114
Perak,primary,both,2017,98.9
Perak,secondary_lower,both,2017,96.7561
Perak,secondary_upper,both,2017,94.4357
Perlis,primary,both,2017,99.22
Perlis,secondary_lower,both,2017,96.4581
Perlis,secondary_upper,both,2017,94.5276
Pulau Pinang,primary,both,2017,96.71
Pulau Pinang,secondary_lower,both,2017,97.3899
Pulau Pinang,secondary_upper,both,2017,95.4438
Sabah,primary,both,2017,99.04
Sabah,secondary_lower,both,2017,95.0703
Sabah,secondary_upper,both,2017,96.3273
Sarawak,primary,both,2017,99.54
Sarawak,secondary_lower,both,2017,95.7767
Sarawak,secondary_upper,both,2017,95.9102
Selangor,primary,both,2017,96.03
Selangor,secondary_lower,both,2017,100.1307
Selangor,secondary_upper,both,2017,97.3706
Terengganu,primary,both,2017,100.06
Terengganu,secondary_lower,both,2017,98.9429
