state,completion_norm,income_median_norm
Johor,14.28571429,49.32024169
Kedah,40.47619048,11.90332326
Kelantan,45.23809524,0
Melaka,4.761904762,39.21450151
Negeri Sembilan,69.04761905,24.35045317
Pahang,59.52380952,17.20543807
Perak,66.66666667,13.29305136
Perlis,9.523809524,16.60120846
Pulau Pinang,71.42857143,43.62537764
Sabah,50,14.54682779
Sarawak,33.33333333,20.60422961
Selangor,42.85714286,96.20845921
Terengganu,35.71428571,34.19939577
Kuala Lumpur,0,100
Labuan,42.85714286,49.6978852
Putrajaya,100,97.31117825
